CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL483254	499179	CHEMBL483254	499179	PANOBINOSTAT	LBH589	349.43	3.19	77.15	0	Cc1[nH]c2ccccc2c1CCNCc3ccc(\C=C\C(=O)NO)cc3	6370663	Ki	=	1.9	nM	8.72			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	769058	CHEMBL1832521	B	Competitive inhibition of HDAC2 using KI-104 as substrate by fluorescence assay	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			58940	CHEMBL1828590	21634430	J. Med. Chem.	2011	54	13	4694			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10955038	Inhibition					Active		0	BAO_0000376			829166	CHEMBL2059988	B	Inhibition of HDAC2 in human MDA-MB-231 cells assessed as inhibition of H4 deacetylation at 50 uM after 24 hrs by Western blot analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025	325	CHEMBL3307960	MDA-MB-231
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954400	Ratio IC50	=	4.6					0	BAO_0000179			829156	CHEMBL2059978	B	Ratio of IC50 for human HDAC2 preincubated for 3 hrs to IC50 for human HDAC2 preincubated for 5 mins	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954413	Ratio IC50	=	29					0	BAO_0000179			829157	CHEMBL2059979	B	Ratio of IC50 for human HDAC2 preincubated for 24 hrs to IC50 for human HDAC2 preincubated for 5 mins	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954450	Inhibition					tde		0	BAO_0000376			829163	CHEMBL2059985	B	Inhibition of human recombinant HDAC2 using Boc-L-Lys (Ac)-AMC as substrate by spectrofluorometric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954270	IC50	=	3200	nM	5.49			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	829146	CHEMBL2059968	B	Inhibition of human recombinant HDAC2 using Boc-L-Lys (Ac)-AMC as substrate preincubated with compound for 5 mins measured after 35 mins by spectrofluorometric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954283	IC50	=	690	nM	6.16			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	829147	CHEMBL2059969	B	Inhibition of human recombinant HDAC2 using Boc-L-Lys (Ac)-AMC as substrate preincubated with compound for 3 hrs measured after 35 mins by spectrofluorometric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL2057824	1353579	CHEMBL2057824	1353579		1b	335.38	4.03	133.11	0	Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	10954296	IC50	=	110	nM	6.96			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	829148	CHEMBL2059970	B	Inhibition of human recombinant HDAC2 using Boc-L-Lys (Ac)-AMC as substrate preincubated with compound for 24 hrs measured after 35 mins by spectrofluorometric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62629	CHEMBL2057127	22771007	Bioorg. Med. Chem. Lett.	2012	22	15	5025			
CHEMBL430060	275631	CHEMBL430060	275631	APICIDIN	4	623.78	1.58	138.84	1	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]4CCCCN4C1=O	10981400	IC50	=	35	nM	7.46			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	831128	CHEMBL2065941	B	Inhibition of recombinant HDAC2 using Ac-Lys(Ac)-AMC as substrate after 30 mins by fluorescence analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			62769	CHEMBL2062402		ACS Med. Chem. Lett.	2012	3	6	505			
CHEMBL2047610	1351034	CHEMBL2047610	1351034		6b	429.9	5.9	56.15	1	COc1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Cl)cc3)c4ccccc4	10947977	IC50	=	2360	nM	5.63			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	827843	CHEMBL2051252	B	Inhibition of HDAC2 in human HeLa cell lysate using KI-104 as substrate after 40 mins by fluorescence analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62524	CHEMBL2046430	22705022	Bioorg. Med. Chem.	2012	20	14	4430			
CHEMBL2047619	1351043	CHEMBL2047619	1351043		8c	489.32	5.9	92.74	1	[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Br)cc3)c4ccccc4	10947986	IC50	=	550	nM	6.26			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	827843	CHEMBL2051252	B	Inhibition of HDAC2 in human HeLa cell lysate using KI-104 as substrate after 40 mins by fluorescence analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62524	CHEMBL2046430	22705022	Bioorg. Med. Chem.	2012	20	14	4430			
CHEMBL2170018	1429497	CHEMBL2170018	1429497		10	680.88	3.04	160.77	1	CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCCNC(=O)C)NC(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O	12103871	IC50	=	370	nM	6.43			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	861541	CHEMBL2174389	B	Inhibition of human recombinant HDAC2 using Ac-Lys(Ac)-7-amino-4-methylcoumarin as substrate after 30 mins by trypsin-coupled fluorogenic assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	65900	CHEMBL2169795		ACS Med. Chem. Lett.	2012	3	9	749			
CHEMBL2347005	1528829	CHEMBL2347005	1528829		10					C[C@@H]1C[C@H](OC(=O)NCCCCCCC(=O)NO)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1	12718185	IC50	=	657.7	nM	6.18			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	950484	CHEMBL2351477	B	Inhibition of recombinant HDAC2 (unknown origin) after 10 mins by fluorimetric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	72873	CHEMBL2346500	23570542	J. Med. Chem.	2013	56	9	3645			
CHEMBL2347010	1528834	CHEMBL2347010	1528834		6a					C[C@@H]1C[C@H](OC(=O)Nc2ccc(cc2)c3cn(CCCCCCC(=O)NO)nn3)[C@@H]4[C@@H](CC[C@@H]5C[C@H](CC(=O)O5)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC4=C1	12718187	IC50	=	463.3	nM	6.33			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	950484	CHEMBL2351477	B	Inhibition of recombinant HDAC2 (unknown origin) after 10 mins by fluorimetric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	72873	CHEMBL2346500	23570542	J. Med. Chem.	2013	56	9	3645			
CHEMBL430060	275631	CHEMBL430060	275631	APICIDIN	1	623.78	1.58	138.84	1	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]4CCCCN4C1=O	12103875	IC50	=	34	nM	7.47			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	861541	CHEMBL2174389	B	Inhibition of human recombinant HDAC2 using Ac-Lys(Ac)-7-amino-4-methylcoumarin as substrate after 30 mins by trypsin-coupled fluorogenic assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	65900	CHEMBL2169795		ACS Med. Chem. Lett.	2012	3	9	749			
CHEMBL99	11501	CHEMBL99	11501	TRICHOSTATIN	TSA	302.37	2.77	69.63	0	C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C	12622653	IC50	=	32.1	nM	7.49			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	936031	CHEMBL2318997	B	Inhibition of human HDAC2 by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	71849	CHEMBL2311425	23252603	J. Med. Chem.	2013	56	2	427			
CHEMBL227118	382030	CHEMBL227118	382030		5	323.43	1.86	90.46	0	ONC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2	13431379	IC50	=	2580	nM	5.59			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	977749	CHEMBL2424296	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	74749	CHEMBL2417402	23627282	J. Med. Chem.	2013	56	16	6297			
CHEMBL2425964	1581083	CHEMBL2425964	1581083		3l	377.44	3.55	82	0	CC(C)C1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1CCc3ccccc3	13451917	IC50					Not Determined		0	BAO_0000190			983628	CHEMBL2427283	B	Inhibition of human recombinant HDAC2 expressed in baculovirus/sf9 cells using RHKKAc as substrate	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			74834	CHEMBL2424579	23905680	J. Med. Chem.	2013	56	17	6775			
CHEMBL2407729	1572135	CHEMBL2407729	1572135		8i	440.45	2.43	143.12	0	Nc1cc(ccc1NC(=O)c2ccc(CNc3nccc(n3)c4cccnc4)cc2)C(=O)O	13395019	IC50	>	20000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	973951	CHEMBL2410098	B	Inhibition of recombinant His-tagged HDAC2 (1 to 488) (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			74396	CHEMBL2407081	23829483	J. Med. Chem.	2013	56	15	6156			
CHEMBL2431902	1583963	CHEMBL2431902	1583963		5b	276.33	1.8	69.64	0	CC(C)(C)C(=O)N1CCc2cc(ccc2C1)C(=O)NO	13467574	IC50	>	50000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	984990	CHEMBL2433164	B	Inhibition of full length C-terminal His6x-tagged recombinant human HDAC2 expressed in baculovirus using Arg-His-Lys-Lys (Ac) as substrate after 1 hr by fluorescence plate reader analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			75006	CHEMBL2429834	23964961	J. Med. Chem.	2013	56	18	7201			
CHEMBL556	15938	CHEMBL556	15938	DEFEROXAMINE	Deferoxamine, Desferal	560.68	-.89	205.84	2	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	13488731	Inhibition					Not Active		0	BAO_0000376			987733	CHEMBL2439711	B	Inhibition of HDAC2 (unknown origin)-mediated deacetylation at 10 uM preincubated for 5 mins prior to substrate addition measured after 30 mins by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			75182	CHEMBL2434956	24074025	J. Med. Chem.	2013	56	20	7997			
CHEMBL3110001	1615207	CHEMBL3110001	1615207		49	305.33	1.97	75.11	0	ONC(=O)[C@@H]1[C@@H]([C@H]1c2ccc3nccnc3c2)c4ccccc4	13896923	IC50	>	50000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1287880	CHEMBL3112164	B	Inhibition of human recombinant full length HDAC2 using (Ac)Arg-Gly-Lys(Ac) as substrate after 60 mins by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			76664	CHEMBL3108758	24261862	J. Med. Chem.	2013	56	24	9934			
CHEMBL2323285	1517442	CHEMBL2323285	1517442		6	605.77	3.9	211.59	1	CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2nc(cs2)c3nnn(CC(=O)N[C@@H](C(C)C)C(=O)O1)n3	12659628	IC50	=	30800	nM	4.51			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	938235	CHEMBL2328538	B	Inhibition of C-terminal His-tagged full length human recombinant HDAC2 expressed in baculovirus expression system using fluorogenic acetylated peptide as substrate preincubated with enzyme for 10 mins prior to substrate addition measured after 60 mins by fluorescence analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	72033	CHEMBL2321647		ACS Med. Chem. Lett.	2013	4	1	132			
CHEMBL16300	17490	CHEMBL16300	17490	BENZOHYDROXAMATE	8	137.14	.84	49.33	0	ONC(=O)c1ccccc1	12680994	IC50	=	7910	nM	5.1			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	944722	CHEMBL2340968	B	Inhibition of HDAC2 (unknown origin) assessed as fluorescence intensity measured after 60 mins incubation at room temperature by trypsin-free microfluidic lab-on-a-chip assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	72522	CHEMBL2331470	23368884	J. Med. Chem.	2013	56	4	1772			
CHEMBL2333338	1522976	CHEMBL2333338	1522976		2	306.36	.15	84.91	0	CN1CCN(CCNC(=O)c2ccc(cc2)C(=O)NO)CC1	12681000	IC50	=	16790	nM	4.77			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	944722	CHEMBL2340968	B	Inhibition of HDAC2 (unknown origin) assessed as fluorescence intensity measured after 60 mins incubation at room temperature by trypsin-free microfluidic lab-on-a-chip assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	72522	CHEMBL2331470	23368884	J. Med. Chem.	2013	56	4	1772			
CHEMBL16300	17490	CHEMBL16300	17490	BENZOHYDROXAMATE	8	137.14	.84	49.33	0	ONC(=O)c1ccccc1	12678226	Inhibition					Not Active		0	BAO_0000376			944716	CHEMBL2340962	B	Inhibition of HDAC2 in human HeLa cells assessed as increase in acetylated H3 at 30 uM measured after 24 hrs by Western blotting analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			72522	CHEMBL2331470	23368884	J. Med. Chem.	2013	56	4	1772	308	CHEMBL3308376	HeLa
CHEMBL2425966	1581085	CHEMBL2425966	1581085		3n	381.4	3.29	82	0	CCC1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1CCc3ccc(F)cc3	13451915	IC50	=	6880	nM	5.16			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	983628	CHEMBL2427283	B	Inhibition of human recombinant HDAC2 expressed in baculovirus/sf9 cells using RHKKAc as substrate	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	74834	CHEMBL2424579	23905680	J. Med. Chem.	2013	56	17	6775			
CHEMBL2425955	1581074	CHEMBL2425955	1581074		3c	321.33	2.09	82	0	CC1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1c3ccccc3	13451928	IC50	=	1610	nM	5.79			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	983628	CHEMBL2427283	B	Inhibition of human recombinant HDAC2 expressed in baculovirus/sf9 cells using RHKKAc as substrate	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	74834	CHEMBL2424579	23905680	J. Med. Chem.	2013	56	17	6775			
CHEMBL2407725	1572131	CHEMBL2407725	1572131		24i	478.61	5.5	104.81	1	Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H]([C@@H](S3)c4ccccc4)c5ccccc5)cc2	13395000	IC50	=	538	nM	6.27			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	973951	CHEMBL2410098	B	Inhibition of recombinant His-tagged HDAC2 (1 to 488) (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	74396	CHEMBL2407081	23829483	J. Med. Chem.	2013	56	15	6156			
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	1, SAHA, vorinostat	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	13331207	IC50	=	90	nM	7.05			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	961399	CHEMBL2387804	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	73722	CHEMBL2384983	23591111	Bioorg. Med. Chem. Lett.	2013	23	11	3346			
CHEMBL3347516	1796947	CHEMBL3347516	1796947		35	354.45	2.28	110.24	0	Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2N	14927518	IC50	=	4800	nM	5.32			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1390402	CHEMBL3391480	B	Inhibition of HDAC-2 (unknown origin) using (FAM)-labeled acetylated peptide as substrate after 17 hrs by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		85880	CHEMBL3390834		MedChemComm	2012	3	2	135			
CHEMBL3353053	1817157	CHEMBL3353053	1817157		9a	288.3	.63	79.5	0	Cn1cccc1C(=O)N2CCn3cc(cc3C2)C(=O)NO	14992232	IC50	=	39000	nM	4.41			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1431996	CHEMBL3388101	B	Inhibition of full length C-terminal 6x-His tagged human HDAC2 using Arg-His-Lys-Lys(Ac) substrate incubated for 2 hrs by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89845	CHEMBL3351349	25454270	Bioorg. Med. Chem. Lett.	2014	24	23	5450			
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	1, SAHA	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	15126331	Ki	=	7	nM	8.15			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1440125	CHEMBL3382538	B	Inhibition of human recombinant HDAC2 using [Ac-Leu-Gly-Lys(Ac)-AMC substrate incubated for 15 to 30 mins	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89689	CHEMBL3351463	25380299	J. Med. Chem.	2014	57	22	9644			
CHEMBL99	11501	CHEMBL99	11501	TRICHOSTATIN	Trichostatin A	302.37	2.77	69.63	0	C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C	14973543	IC50	=	28.2	nM	7.55			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1434457	CHEMBL3388274	B	Inhibition of HDAC2 (unknown origin) after 15 mins by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89860	CHEMBL3352210	25455492	Bioorg. Med. Chem. Lett.	2014	24	23	5497			
CHEMBL14227	13450	CHEMBL14227	13450	BUTANOIC ACID	1	88.11	.92	37.29	0	CCCC(=O)O	5207851	IC50	=	12000	nM	4.92			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	718469	CHEMBL1680133	B	Inhibition of human recombinant HDAC2	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	55650	CHEMBL1671826	21874153	ACS Med. Chem. Lett.	2011	2	1	39			
CHEMBL2407730	1572136	CHEMBL2407730	1572136		31	321.33	1.78	100.03	0	ONC(=O)c1ccc(CNc2nccc(n2)c3cccnc3)cc1	13395018	IC50	=	219	nM	6.66			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	973951	CHEMBL2410098	B	Inhibition of recombinant His-tagged HDAC2 (1 to 488) (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	74396	CHEMBL2407081	23829483	J. Med. Chem.	2013	56	15	6156			
CHEMBL3356927	1821070	CHEMBL3356927	1821070		47, ST7543	439.57	2.92	126.1	0	SCCCCC[C@H](NC(=O)[C@H]1[C@H](CNC1=O)c2ccccc2)C(=O)Nc3ccccc3	15138227	IC50	=	168	nM	6.77			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1443001	CHEMBL3379479	B	Inhibition of HDAC2 (unknown origin) using fluorogenic tetrapeptide RHKK(Ac) substrate by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89379	CHEMBL3352570	25233084	J. Med. Chem.	2014	57	20	8358			
